z_value,k_value,sep
869600460,217,69752
869518907,217,81553
869514614,217,4293
869498719,217,15895
869449559,217,49160
869449446,217,113
869439992,217,9454
869426010,217,13982
869419732,217,6278
869412475,217,7257
868641238,217,771237
868630750,217,10488
868005288,217,625462
867140982,217,864306
867087571,217,53411
867083723,217,3848
867065346,217,18377
867062921,217,2425
867057102,217,5819
867055686,217,1416
867047605,217,8081
867041748,217,5857
867041472,217,276
866242334,217,799138
866216437,217,25897
866176695,217,39742
866121295,217,55400
866116316,217,4979
866086155,217,30161
866085649,217,506
865847727,217,237922
865681517,217,166210
865675745,217,5772
865670127,217,5618
865648393,217,21734
865647148,217,1245
865639226,217,7922
865637197,217,2029
865551564,217,85633
865535143,217,16421
865490899,217,44244
865483323,217,7576
865460169,217,23154
865459833,217,336
865459131,217,702
865457751,217,1380
865454955,217,2796
865453130,217,1825
865399910,217,53220
864433177,217,966733
864318508,217,114669
864317103,217,1405
864316569,217,534
864303125,217,13444
864300105,217,3020
864298344,217,1761
864285595,217,12749
864271341,217,14254
864264994,217,6347
864260171,217,4823
864259640,217,531
864245998,217,13642
864241397,217,4601
864240344,217,1053
864237445,217,2899
863528170,217,709275
863511644,217,16526
863491365,217,20279
863471048,217,20317
863468984,217,2064
863464686,217,4298
863422666,217,42020
863421365,217,1301
863413208,217,8157
863396890,217,16318
863390828,217,6062
863390791,217,37
863384261,217,6530
863376702,217,7559
863268508,217,108194
863263164,217,5344
863255085,217,8079
863215212,217,39873
863214872,217,340
863111066,217,103806
863075014,217,36052
863073058,217,1956
863072435,217,623
863069155,217,3280
863069005,217,150
863058135,217,10870
863034488,217,23647
863029424,217,5064
863029270,217,154
863023413,217,5857
863000821,217,22592
862977418,217,23403
862976787,217,631
862974644,217,2143
862974531,217,113
862958252,217,16279
862917128,217,41124
862914702,217,2426
862905061,217,9641
862901342,217,3719
862853136,217,48206
862847370,217,5766
862781978,217,65392
862781846,217,132
862497477,217,284369
862488581,217,8896
862484316,217,4265
862397789,217,86527
862336866,217,60923
862326912,217,9954
862315102,217,11810
862276182,217,38920
862188497,217,87685
862187304,217,1193
862184946,217,2358
862182472,217,2474
862182260,217,212
862170595,217,11665
862117733,217,52862
862105364,217,12369
861812562,217,292802
861799616,217,12946
861796195,217,3421
861755078,217,41117
861585341,217,169737
861585250,217,91
861536211,217,49039
861532854,217,3357
861527960,217,4894
861527141,217,819
861511703,217,15438
861507162,217,4541
861503967,217,3195
861466682,217,37285
861439960,217,26722
861427092,217,12868
861421375,217,5717
861388666,217,32709
861386683,217,1983
861353717,217,32966
861323525,217,30192
861295254,217,28271
861272604,217,22650
861249719,217,22885
861220251,217,29468
861196902,217,23349
861193216,217,3686
861180122,217,13094
861170603,217,9519
861139168,217,31435
861135896,217,3272
861134021,217,1875
861128257,217,5764
861120368,217,7889
861108982,217,11386
861107207,217,1775
861100545,217,6662
861097624,217,2921
861085713,217,11911
861079389,217,6324
861062933,217,16456
861043496,217,19437
861038634,217,4862
861033928,217,4706
861027186,217,6742
861011128,217,16058
860988400,217,22728
860974330,217,14070
860972078,217,2252
860954418,217,17660
860851213,217,103205
860834913,217,16300
860816090,217,18823
