original_number,capture_iteration,capture_state,capture_number
461,1,ODD,461
461,2,EVEN,1384
461,3,EVEN,692
461,4,EVEN,346
461,5,ODD,173
461,6,EVEN,520
461,7,EVEN,260
461,8,EVEN,130
461,9,ODD,65
461,10,EVEN,196
461,11,EVEN,98
461,12,ODD,49
461,13,EVEN,148
461,14,EVEN,74
461,15,ODD,37
461,16,EVEN,112
461,17,EVEN,56
461,18,EVEN,28
461,19,EVEN,14
461,20,ODD,7
461,21,EVEN,22
461,22,ODD,11
461,23,EVEN,34
461,24,ODD,17
461,25,EVEN,52
461,26,EVEN,26
461,27,ODD,13
461,28,EVEN,40
461,29,EVEN,20
461,30,EVEN,10
461,31,ODD,5
461,32,EVEN,16
461,33,EVEN,8
461,34,EVEN,4
461,35,EVEN,2
461,36,END,1
769,1,ODD,769
769,2,EVEN,2308
769,3,EVEN,1154
769,4,ODD,577
769,5,EVEN,1732
769,6,EVEN,866
769,7,ODD,433
769,8,EVEN,1300
769,9,EVEN,650
769,10,ODD,325
769,11,EVEN,976
769,12,EVEN,488
769,13,EVEN,244
769,14,EVEN,122
769,15,ODD,61
769,16,EVEN,184
769,17,EVEN,92
769,18,EVEN,46
769,19,ODD,23
769,20,EVEN,70
769,21,ODD,35
769,22,EVEN,106
769,23,ODD,53
769,24,EVEN,160
769,25,EVEN,80
769,26,EVEN,40
769,27,EVEN,20
769,28,EVEN,10
769,29,ODD,5
769,30,EVEN,16
769,31,EVEN,8
769,32,EVEN,4
769,33,EVEN,2
769,34,END,1
951,1,ODD,951
951,2,EVEN,2854
951,3,ODD,1427
951,4,EVEN,4282
951,5,ODD,2141
951,6,EVEN,6424
951,7,EVEN,3212
951,8,EVEN,1606
951,9,ODD,803
951,10,EVEN,2410
951,11,ODD,1205
951,12,EVEN,3616
951,13,EVEN,1808
951,14,EVEN,904
951,15,EVEN,452
951,16,EVEN,226
951,17,ODD,113
951,18,EVEN,340
951,19,EVEN,170
951,20,ODD,85
951,21,EVEN,256
951,22,EVEN,128
951,23,EVEN,64
951,24,EVEN,32
951,25,EVEN,16
951,26,EVEN,8
951,27,EVEN,4
951,28,EVEN,2
951,29,END,1
833,1,ODD,833
833,2,EVEN,2500
833,3,EVEN,1250
833,4,ODD,625
833,5,EVEN,1876
833,6,EVEN,938
833,7,ODD,469
833,8,EVEN,1408
833,9,EVEN,704
833,10,EVEN,352
833,11,EVEN,176
833,12,EVEN,88
833,13,EVEN,44
833,14,EVEN,22
833,15,ODD,11
833,16,EVEN,34
833,17,ODD,17
833,18,EVEN,52
833,19,EVEN,26
833,20,ODD,13
833,21,EVEN,40
833,22,EVEN,20
833,23,EVEN,10
833,24,ODD,5
833,25,EVEN,16
833,26,EVEN,8
833,27,EVEN,4
833,28,EVEN,2
833,29,END,1
841,1,ODD,841
841,2,EVEN,2524
841,3,EVEN,1262
841,4,ODD,631
841,5,EVEN,1894
841,6,ODD,947
841,7,EVEN,2842
841,8,ODD,1421
841,9,EVEN,4264
841,10,EVEN,2132
841,11,EVEN,1066
841,12,ODD,533
841,13,EVEN,1600
841,14,EVEN,800
841,15,EVEN,400
841,16,EVEN,200
841,17,EVEN,100
841,18,EVEN,50
841,19,ODD,25
841,20,EVEN,76
841,21,EVEN,38
841,22,ODD,19
841,23,EVEN,58
841,24,ODD,29
841,25,EVEN,88
841,26,EVEN,44
841,27,EVEN,22
841,28,ODD,11
841,29,EVEN,34
841,30,ODD,17
841,31,EVEN,52
841,32,EVEN,26
841,33,ODD,13
841,34,EVEN,40
841,35,EVEN,20
841,36,EVEN,10
841,37,ODD,5
841,38,EVEN,16
841,39,EVEN,8
841,40,EVEN,4
841,41,EVEN,2
841,42,END,1
845,1,ODD,845
845,2,EVEN,2536
845,3,EVEN,1268
845,4,EVEN,634
845,5,ODD,317
845,6,EVEN,952
845,7,EVEN,476
845,8,EVEN,238
845,9,ODD,119
845,10,EVEN,358
845,11,ODD,179
845,12,EVEN,538
