original_number,capture_iteration,capture_state,capture_number
839,63,EVEN,148
839,64,EVEN,74
839,65,ODD,37
839,66,EVEN,112
839,67,EVEN,56
839,68,EVEN,28
839,69,EVEN,14
839,70,ODD,7
839,71,EVEN,22
839,72,ODD,11
839,73,EVEN,34
839,74,ODD,17
839,75,EVEN,52
839,76,EVEN,26
839,77,ODD,13
839,78,EVEN,40
839,79,EVEN,20
839,80,EVEN,10
839,81,ODD,5
839,82,EVEN,16
839,83,EVEN,8
839,84,EVEN,4
839,85,EVEN,2
839,86,END,1
403,1,ODD,403
403,2,EVEN,1210
403,3,ODD,605
403,4,EVEN,1816
403,5,EVEN,908
403,6,EVEN,454
403,7,ODD,227
403,8,EVEN,682
403,9,ODD,341
403,10,EVEN,1024
403,11,EVEN,512
403,12,EVEN,256
403,13,EVEN,128
403,14,EVEN,64
403,15,EVEN,32
403,16,EVEN,16
403,17,EVEN,8
403,18,EVEN,4
403,19,EVEN,2
403,20,END,1
921,1,ODD,921
921,2,EVEN,2764
921,3,EVEN,1382
921,4,ODD,691
921,5,EVEN,2074
921,6,ODD,1037
921,7,EVEN,3112
921,8,EVEN,1556
921,9,EVEN,778
921,10,ODD,389
921,11,EVEN,1168
921,12,EVEN,584
921,13,EVEN,292
921,14,EVEN,146
921,15,ODD,73
921,16,EVEN,220
921,17,EVEN,110
921,18,ODD,55
921,19,EVEN,166
921,20,ODD,83
921,21,EVEN,250
921,22,ODD,125
921,23,EVEN,376
921,24,EVEN,188
921,25,EVEN,94
921,26,ODD,47
921,27,EVEN,142
921,28,ODD,71
921,29,EVEN,214
921,30,ODD,107
921,31,EVEN,322
921,32,ODD,161
921,33,EVEN,484
921,34,EVEN,242
921,35,ODD,121
921,36,EVEN,364
921,37,EVEN,182
921,38,ODD,91
921,39,EVEN,274
921,40,ODD,137
921,41,EVEN,412
921,42,EVEN,206
921,43,ODD,103
921,44,EVEN,310
921,45,ODD,155
921,46,EVEN,466
921,47,ODD,233
921,48,EVEN,700
921,49,EVEN,350
921,50,ODD,175
921,51,EVEN,526
921,52,ODD,263
921,53,EVEN,790
921,54,ODD,395
921,55,EVEN,1186
921,56,ODD,593
921,57,EVEN,1780
921,58,EVEN,890
921,59,ODD,445
921,60,EVEN,1336
921,61,EVEN,668
921,62,EVEN,334
921,63,ODD,167
921,64,EVEN,502
921,65,ODD,251
921,66,EVEN,754
921,67,ODD,377
921,68,EVEN,1132
921,69,EVEN,566
921,70,ODD,283
921,71,EVEN,850
921,72,ODD,425
921,73,EVEN,1276
921,74,EVEN,638
921,75,ODD,319
921,76,EVEN,958
921,77,ODD,479
921,78,EVEN,1438
921,79,ODD,719
921,80,EVEN,2158
921,81,ODD,1079
921,82,EVEN,3238
921,83,ODD,1619
921,84,EVEN,4858
921,85,ODD,2429
921,86,EVEN,7288
921,87,EVEN,3644
921,88,EVEN,1822
921,89,ODD,911
921,90,EVEN,2734
921,91,ODD,1367
921,92,EVEN,4102
921,93,ODD,2051
921,94,EVEN,6154
921,95,ODD,3077
921,96,EVEN,9232
921,97,EVEN,4616
921,98,EVEN,2308
921,99,EVEN,1154
921,100,ODD,577
921,101,EVEN,1732
921,102,EVEN,866
921,103,ODD,433
921,104,EVEN,1300
921,105,EVEN,650
921,106,ODD,325
921,107,EVEN,976
921,108,EVEN,488
921,109,EVEN,244
921,110,EVEN,122
921,111,ODD,61
921,112,EVEN,184
921,113,EVEN,92
921,114,EVEN,46
921,115,ODD,23
921,116,EVEN,70
921,117,ODD,35
921,118,EVEN,106
921,119,ODD,53
921,120,EVEN,160
921,121,EVEN,80
921,122,EVEN,40
921,123,EVEN,20
921,124,EVEN,10
921,125,ODD,5
921,126,EVEN,16
921,127,EVEN,8
921,128,EVEN,4
921,129,EVEN,2
921,130,END,1
889,1,ODD,889
889,2,EVEN,2668
889,3,EVEN,1334
889,4,ODD,667
889,5,EVEN,2002
889,6,ODD,1001
889,7,EVEN,3004
889,8,EVEN,1502
889,9,ODD,751
889,10,EVEN,2254
889,11,ODD,1127
889,12,EVEN,3382
889,13,ODD,1691
889,14,EVEN,5074
889,15,ODD,2537
889,16,EVEN,7612
889,17,EVEN,3806
889,18,ODD,1903
889,19,EVEN,5710
